timestamp,signal_strength,packet_loss_rate,round_trip_time,communication_protocol,frequency_band,encryption_type,drone_gps_coordinates,altitude,speed_trajectory,transmission_power,message_authentication_status,session_key_validity,signal_noise_ratio,sequence_number_gap,drone_identification,data_rate,network_traffic_volume,gps_signal_integrity,uplink_downlink_quality,base_station_load,port_scanning_attempts,drone_signal_handoff,malware_detection_signals,anomaly_in_behavioral_pattern,intrusion_detection_flags,temporal_patterns,label_normal,label_spoofing,label_mitm,label_ddos,label_gps_spoofing,label_malware,label_jamming,label_protocol_exploit
2019-11-01 00:00:00,-60,0,50,ZigBee,5.0,AES,"(-11.69864152850468, 86.89778588010734)",291,60,46,1,1,30,0,8,100,100,1,50,50,0,1,0,4,0,0,0,0,0,0,0,0,0,0
2019-11-01 01:00:00,-64,0,50,LoRa,2.4,AES,"(66.98918792506822, -140.91891468822496)",100,48,20,1,1,30,0,42,100,1376,1,50,50,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 02:00:00,-60,0,194,ZigBee,2.4,AES,"(-31.711586784829194, 36.5632095665857)",226,30,20,1,0,30,0,78,327,1168,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 03:00:00,-60,0,50,Wi-Fi,2.4,AES,"(3.5943733073538198, 74.7992608739666)",100,30,20,1,1,30,0,51,100,100,1,50,91,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2019-11-01 04:00:00,-69,0,50,Wi-Fi,2.4,Plain-text,"(41.4738797417983, -100.00817301602393)",100,30,20,1,1,30,0,22,353,100,1,50,50,0,1,7,4,0,0,0,0,0,0,0,0,0,0
2019-11-01 05:00:00,-60,0,50,ZigBee,5.0,AES,"(10.739601765879641, 35.622493669368566)",100,27,20,1,1,30,0,11,100,100,1,50,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 06:00:00,-60,0,183,Wi-Fi,2.4,AES,"(-75.13963481226648, 140.1003305768412)",100,30,47,1,1,35,0,13,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 07:00:00,-65,0,50,Wi-Fi,2.4,RSA,"(-14.399321878741006, 84.26010472311361)",100,30,20,1,1,30,0,64,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-01 08:00:00,-60,0,161,ZigBee,2.4,AES,"(20.359832372795736, 30.812794818220652)",100,30,20,1,1,45,0,22,100,1187,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 09:00:00,-60,0,50,Wi-Fi,2.4,AES,"(-6.8410102142537, -151.76147499522574)",100,30,20,1,1,30,0,50,100,100,1,50,141,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 10:00:00,-60,0,50,Wi-Fi,2.4,AES,"(-61.92984778123549, 93.64919690902406)",100,48,20,1,1,30,0,27,375,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 11:00:00,-60,0,410,ZigBee,915.0,AES,"(-10.783009060369693, 86.67229713832478)",100,30,20,1,1,30,1,74,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 12:00:00,-60,0,50,ZigBee,5.0,AES,"(-58.00912070371403, -14.189194657548882)",100,42,20,1,0,30,0,73,100,100,1,50,50,0,1,0,1,1,1,0,0,0,0,0,0,0,0
2019-11-01 13:00:00,-60,0,50,Wi-Fi,915.0,AES,"(16.819006983891796, 74.44706138917326)",100,30,20,1,1,30,0,22,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 14:00:00,-60,0,384,Wi-Fi,2.4,AES,"(52.11829188704772, 146.6122349652436)",100,59,20,1,1,30,0,71,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 15:00:00,-60,11,50,Wi-Fi,5.0,AES,"(-17.754238899043997, -165.9432382430366)",100,30,20,1,1,30,0,97,452,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-01 16:00:00,-60,0,50,ZigBee,5.0,RSA,"(59.97013910939998, 146.77662652814308)",100,30,20,1,0,30,0,47,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 17:00:00,-60,0,436,Wi-Fi,2.4,AES,"(-9.304209099393347, 144.3848477208428)",100,30,20,1,1,30,0,17,100,100,1,50,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2019-11-01 18:00:00,-60,0,307,Wi-Fi,915.0,RSA,"(45.25513998150325, -115.02535955568243)",100,30,20,1,1,30,0,35,100,1587,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 19:00:00,-60,0,153,LoRa,5.0,AES,"(15.35755653645694, -73.22658802924065)",100,42,20,1,1,30,0,16,100,100,1,50,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2019-11-01 20:00:00,-60,0,50,Wi-Fi,2.4,AES,"(-36.39658837513392, -39.324433916166754)",100,30,20,1,1,30,0,54,100,100,1,50,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 21:00:00,-60,0,50,ZigBee,915.0,AES,"(-56.90886780092569, -141.69025871354677)",100,30,20,1,1,30,0,79,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01 22:00:00,-60,0,50,Wi-Fi,2.4,AES,"(73.0028218111658, -161.21797867835505)",100,30,20,1,1,30,0,86,100,1044,1,50,50,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-11-01 23:00:00,-60,0,50,Wi-Fi,915.0,AES,"(-63.6537816391737, 169.6502256355484)",100,30,20,0,1,30,0,63,51,1660,1,50,50,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2019-11-02 00:00:00,-60,0,324,Wi-Fi,5.0,AES,"(60.60350168035848, 9.60496487156081)",100,30,20,1,1,30,0,69,100,100,1,40,50,3,1,0,0,1,0,0,0,0,0,0,0,0,0
2019-11-02 01:00:00,-60,0,481,ZigBee,5.0,AES,"(-39.195475231867775, -164.3206781914593)",489,70,20,1,0,11,0,12,100,100,1,50,213,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-02 02:00:00,-60,0,195,Wi-Fi,5.0,AES,"(42.206845853710604, 49.64074410999524)",100,30,20,1,1,30,0,7,454,100,1,50,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2019-11-02 03:00:00,-60,0,240,Wi-Fi,2.4,AES,"(-69.42971936900605, -142.5598187009357)",100,30,20,1,1,30,0,46,100,100,1,50,50,0,1,2,0,0,1,0,0,0,0,0,0,0,0
2019-11-02 04:00:00,-60,0,50,LoRa,915.0,AES,"(14.809492366431158, -149.19029739023298)",100,30,12,1,1,30,0,66,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-02 05:00:00,-60,0,50,Wi-Fi,5.0,RSA,"(20.03747825954416, -17.171368428829)",100,30,20,1,1,30,0,45,407,577,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-02 06:00:00,-60,0,50,ZigBee,5.0,RSA,"(16.680220131625447, 102.10725140951484)",100,30,12,1,1,30,0,28,206,100,1,50,232,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-02 07:00:00,-60,0,50,ZigBee,915.0,Plain-text,"(44.30985451029588, -174.65729440931568)",100,30,20,0,1,34,0,74,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-02 08:00:00,-60,0,50,Wi-Fi,2.4,Plain-text,"(-34.865058625079485, 118.87541079713941)",100,30,20,1,1,30,7,46,100,100,1,50,50,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2019-11-02 09:00:00,-60,0,50,Wi-Fi,915.0,AES,"(-80.35938211598464, -166.255438565183)",100,30,20,1,1,30,7,75,167,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-02 10:00:00,-60,0,405,Wi-Fi,5.0,AES,"(-52.14800796560506, 34.01989754156804)",100,30,20,1,0,47,0,75,100,100,1,50,50,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2019-11-02 11:00:00,-60,0,50,Wi-Fi,2.4,AES,"(5.50590400113083, 62.93051109035247)",100,30,20,0,1,30,0,78,100,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-02 12:00:00,-60,23,50,Wi-Fi,5.0,Plain-text,"(83.69940030100247, 21.291393606295514)",100,30,20,0,0,30,0,51,481,100,1,50,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2019-11-02 13:00:00,-60,0,50,ZigBee,915.0,AES,"(2.676554504663116, 125.63749859157315)",100,30,20,1,0,48,0,51,100,1674,1,50,50,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2019-11-02 14:00:00,-60,0,50,LoRa,915.0,AES,"(-85.22236921641553, 152.96563976363643)",100,30,20,1,1,30,0,42,451,100,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-02 15:00:00,-60,0,50,Wi-Fi,5.0,AES,"(-51.68116470908887, -28.45615449524246)",100,30,20,1,1,47,0,2,100,100,1,50,50,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2019-11-02 16:00:00,-65,0,50,ZigBee,5.0,AES,"(52.09740440561532, 1.2624627404628654)",100,97,20,1,1,26,0,99,100,100,1,50,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2019-11-02 17:00:00,-60,0,50,LoRa,5.0,RSA,"(14.427992498445022, 65.34864899859821)",100,57,20,0,1,26,9,76,151,740,1,50,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
